"rank" "feature_density_pos" "weighted_feature_density_pos" "feature_density_zero" 
0.04850 0.9367 0.9355 0.8270
0.04860 0.9386 0.9356 0.8348
0.04870 0.9763 0.9739 1.0093
0.04880 0.7976 0.7976 0.7455
0.04890 0.9085 0.9055 0.8120
0.04900 0.9230 0.9212 0.8162
0.04910 0.9331 0.9301 0.8198
0.04920 0.9338 0.9320 0.8210
0.04930 0.9487 0.9469 0.9403
0.04940 0.9266 0.9260 0.9380
0.04950 0.9271 0.9271 0.9361
0.04959 0.9302 0.9290 0.9368
0.04969 0.9482 0.9470 0.9901
0.04979 0.9379 0.9379 0.9325
0.04989 0.9392 0.9398 0.9272
0.04999 0.9385 0.9373 0.9295
0.05009 0.9284 0.9290 0.8792
0.05019 0.9169 0.9181 0.8174
0.05029 0.9200 0.9212 0.8240
0.05039 0.9271 0.9265 0.8264
0.05049 0.9320 0.9344 0.8360
0.05059 0.9331 0.9331 0.8288
0.05069 0.9332 0.9344 0.8216
0.05079 0.9379 0.9385 0.8276
0.05089 0.9488 0.9482 0.9739
0.05099 0.8078 0.8096 0.8120
0.05109 0.7820 0.7856 0.7551
0.05119 0.8534 0.8546 0.7838
0.05128 0.7970 0.7982 0.7604
0.05138 0.8792 0.8822 0.7922
0.05148 0.9121 0.9127 0.8174
0.05158 0.9158 0.9176 0.8204
0.05168 0.9199 0.9211 0.8204
0.05178 0.9200 0.9230 0.8132
0.05188 0.9331 0.9349 0.8144
0.05198 0.9194 0.9182 0.8078
0.05208 0.9211 0.9205 0.8120
0.05218 0.9218 0.9218 0.8114
0.05228 0.9229 0.9223 0.8150
0.05238 0.9254 0.9242 0.8156
0.05248 0.9229 0.9229 0.8126
0.05258 0.9254 0.9254 0.8186
0.05268 0.9254 0.9242 0.8138
0.05278 0.9229 0.9235 0.8252
0.05287 0.9302 0.9296 0.8300
0.05297 0.9319 0.9325 0.8204
0.05307 0.9260 0.9272 0.8180
0.05317 0.9229 0.9241 0.8036
0.05327 0.9230 0.9236 0.8084
0.05337 0.9319 0.9307 0.8246
0.05347 0.8678 0.8678 0.7473
0.05357 0.9079 0.9055 0.8120
0.05367 0.9140 0.9110 0.8144
0.05377 0.9163 0.9133 0.8174
0.05387 0.9194 0.9170 0.8180
0.05397 0.9253 0.9211 0.8204
0.05407 0.9320 0.9308 0.8270
0.05417 0.9422 0.9386 0.8354
0.05427 0.9463 0.9451 0.8636
0.05437 0.9128 0.9128 0.7964
0.05447 0.9205 0.9193 0.8006
0.05456 0.9200 0.9206 0.8030
0.05466 0.9307 0.9295 0.8300
0.05476 0.9302 0.9314 0.8222
0.05486 0.9337 0.9331 0.8318
0.05496 0.9362 0.9368 0.8294
0.05506 0.9343 0.9355 0.8282
0.05516 0.9386 0.9392 0.8318
0.05526 0.9355 0.9343 0.8288
0.05536 0.9476 0.9494 0.8330
0.05546 0.8990 0.8990 0.7886
0.05556 0.9134 0.9128 0.7946
0.05566 0.9188 0.9176 0.7982
0.05576 0.9211 0.9205 0.8072
0.05586 0.9302 0.9308 0.8204
0.05596 0.9523 0.9499 0.9277
0.05606 0.9506 0.9476 0.8366
0.05615 0.9001 0.8984 0.8774
0.05625 0.9302 0.9290 0.9835
0.05635 0.9403 0.9385 0.9553
0.05645 0.9062 0.9026 0.9080
0.05655 0.9187 0.9193 0.8060
0.05665 0.9194 0.9206 0.8078
0.05675 0.9253 0.9259 0.8126
0.05685 0.9374 0.9368 0.8870
0.05695 0.8564 0.8582 0.7970
0.05705 0.9104 0.9110 0.8246
0.05715 0.9140 0.9158 0.8228
0.05725 0.9169 0.9187 0.8228
0.05735 0.9176 0.9200 0.8132
0.05745 0.9205 0.9223 0.8132
0.05755 0.9230 0.9248 0.8180
0.05765 0.9319 0.9319 0.8282
0.05774 0.9350 0.9356 0.8390
0.05784 0.9403 0.9427 0.8258
0.05794 0.9032 0.9008 0.8060
0.05804 0.9283 0.9259 0.8150
0.05814 0.9278 0.9248 0.8240
0.05824 0.9523 0.9499 0.8414
0.05834 0.9092 0.9050 0.8090
0.05844 0.9139 0.9109 0.8174
0.05854 0.9152 0.9128 0.8168
0.05864 0.9194 0.9146 0.8162
0.05874 0.9205 0.9163 0.8264
0.05884 0.9206 0.9170 0.8336
0.05894 0.9265 0.9229 0.8252
0.05904 0.8864 0.8852 0.8024
0.05914 0.8534 0.8534 0.7934
0.05924 0.8768 0.8768 0.8234
0.05934 0.8942 0.8930 0.8048
0.05943 0.8966 0.8954 0.8108
0.05953 0.8882 0.8870 0.8024
0.05963 0.9098 0.9110 0.8192
0.05973 0.9421 0.9427 0.8876
0.05983 0.9254 0.9260 0.8168
0.05993 0.9277 0.9271 0.8138
0.06003 0.9314 0.9314 0.8174
0.06013 0.9314 0.9296 0.8144
0.06023 0.9283 0.9289 0.8120
0.06033 0.9350 0.9350 0.8156
0.06043 0.9367 0.9373 0.8192
0.06053 0.9128 0.9146 0.7880
0.06063 0.8612 0.8612 0.6897
0.06073 0.8600 0.8642 0.6987
0.06083 0.8630 0.8648 0.6957
0.06093 0.8630 0.8648 0.6969
0.06102 0.9217 0.9217 0.9049
0.06112 0.9554 0.9524 1.0045
0.06122 0.9397 0.9361 0.8306
0.06132 0.9446 0.9434 0.8744
0.06142 0.9325 0.9325 0.8072
0.06152 0.9404 0.9404 0.8276
0.06162 0.9428 0.9422 0.8312
0.06172 0.8702 0.8714 0.7712
0.06182 0.8924 0.8912 0.7604
0.06192 0.8858 0.8846 0.7520
0.06202 0.9146 0.9092 0.7521
0.06212 0.9169 0.9109 0.7544
0.06222 0.9206 0.9182 0.7802
0.06232 0.9235 0.9253 0.8192
0.06242 0.9152 0.9116 0.8060
0.06252 0.9098 0.9068 0.8120
0.06261 0.9151 0.9127 0.8138
0.06271 0.9175 0.9139 0.8204
0.06281 0.9229 0.9193 0.8192
0.06291 0.9260 0.9224 0.8252
0.06301 0.9367 0.9337 0.8384
0.06311 0.9457 0.9415 0.8324
0.06321 0.9416 0.9428 0.8348
0.06331 0.8990 0.8996 0.8558
0.06341 0.8540 0.8546 0.7826
0.06351 0.8732 0.8756 0.7862
0.06361 0.8954 0.8954 0.8019
0.06371 0.9187 0.9175 0.7964
0.06381 0.9229 0.9223 0.8108
0.06391 0.8786 0.8780 0.7892
0.06401 0.9272 0.9266 0.8528
0.06411 0.8834 0.8828 0.8042
0.06421 0.9343 0.9355 0.8234
0.06430 0.9319 0.9331 0.8354
0.06440 0.9314 0.9314 0.8318
0.06450 0.8894 0.8882 0.7976
0.06460 0.9355 0.9361 0.8204
0.06470 0.9344 0.9356 0.8300
0.06480 0.9595 0.9583 0.9403
0.06490 0.8840 0.8852 0.8012
0.06500 0.9385 0.9379 0.8282
0.06510 0.9410 0.9416 0.8223
0.06520 0.9421 0.9427 0.8330
0.06530 0.8822 0.8834 0.7742
0.06540 0.9151 0.9169 0.8348
0.06550 0.9086 0.9122 0.8240
0.06560 0.9169 0.9157 0.8234
0.06570 0.9169 0.9187 0.8264
0.06580 0.9229 0.9253 0.8144
0.06589 0.9302 0.9314 0.8312
0.06599 0.9379 0.9391 0.8306
0.06609 0.9529 0.9535 0.8900
0.06619 0.7977 0.7959 0.7935
0.06629 0.9247 0.9217 0.8126
0.06639 0.9247 0.9229 0.8702
0.06649 0.9415 0.9385 0.8840
0.06659 0.9380 0.9356 0.8258
0.06669 0.9577 0.9553 0.9031
0.06679 0.9403 0.9391 0.8984
0.06689 0.9487 0.9445 0.9955
0.06699 0.9368 0.9374 0.8187
0.06709 0.8870 0.8882 0.7406
0.06719 0.8648 0.8666 0.6987
0.06729 0.8708 0.8732 0.7064
0.06739 0.8936 0.8942 0.7713
0.06748 0.8360 0.8360 0.7286
0.06758 0.8624 0.8648 0.7340
0.06768 0.8666 0.8672 0.7389
0.06778 0.8912 0.8894 0.7868
0.06788 0.9145 0.9127 0.8162
0.06798 0.9235 0.9223 0.8012
0.06808 0.9272 0.9254 0.8043
0.06818 0.9703 0.9673 0.9481
0.06828 0.9427 0.9397 0.8762
0.06838 0.9151 0.9133 0.8108
0.06848 0.9182 0.9164 0.8031
