"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.05864 0.9566 0.9566
0.05874 0.9643 0.9643
0.05884 0.9098 0.9098
0.05894 0.9193 0.9193
0.05904 0.9260 0.9260
0.05914 0.9313 0.9313
0.05924 0.9350 0.9350
0.05934 0.9379 0.9379
0.05943 0.9512 0.9512
0.05953 0.8984 0.8984
0.05963 0.9020 0.9020
0.05973 0.9031 0.9031
0.05983 0.9116 0.9116
0.05993 0.9163 0.9163
0.06003 0.9176 0.9176
0.06013 0.9206 0.9206
0.06023 0.9205 0.9205
0.06033 0.9218 0.9218
0.06043 0.9229 0.9229
0.06053 0.9224 0.9224
0.06063 0.9223 0.9223
0.06073 0.9242 0.9242
0.06083 0.9229 0.9229
0.06093 0.9236 0.9236
0.06102 0.9241 0.9241
0.06112 0.9236 0.9236
0.06122 0.9235 0.9235
0.06132 0.9236 0.9236
0.06142 0.9241 0.9241
0.06152 0.9248 0.9248
0.06162 0.9242 0.9242
0.06172 0.9253 0.9253
0.06182 0.9260 0.9260
0.06192 0.9247 0.9247
0.06202 0.9272 0.9272
0.06212 0.9259 0.9259
0.06222 0.9260 0.9260
0.06232 0.9265 0.9265
0.06242 0.9260 0.9260
0.06252 0.9272 0.9272
0.06261 0.9271 0.9271
0.06271 0.9283 0.9283
0.06281 0.9271 0.9271
0.06291 0.9290 0.9290
0.06301 0.9277 0.9277
0.06311 0.9301 0.9301
0.06321 0.9302 0.9302
0.06331 0.9301 0.9301
0.06341 0.9313 0.9313
0.06351 0.9319 0.9319
0.06361 0.9314 0.9314
0.06371 0.9337 0.9337
0.06381 0.9331 0.9331
0.06391 0.9337 0.9337
0.06401 0.9350 0.9350
0.06411 0.9349 0.9349
0.06421 0.9343 0.9343
0.06430 0.9373 0.9373
0.06440 0.9374 0.9374
0.06450 0.9391 0.9391
0.06460 0.9397 0.9397
0.06470 0.9422 0.9422
0.06480 0.9451 0.9451
0.06490 0.9487 0.9487
0.06500 0.9505 0.9505
0.06510 0.9542 0.9542
0.06520 0.9547 0.9547
0.06530 0.9595 0.9595
0.06540 0.9619 0.9619
0.06550 0.9470 0.9470
0.06560 0.8828 0.8828
0.06570 0.8918 0.8918
0.06580 0.8936 0.8936
0.06589 0.8966 0.8966
0.06599 0.8972 0.8972
0.06609 0.8984 0.8984
0.06619 0.8990 0.8990
0.06629 0.9007 0.9007
0.06639 0.9013 0.9013
0.06649 0.9013 0.9013
0.06659 0.9020 0.9020
0.06669 0.9019 0.9019
0.06679 0.9031 0.9031
0.06689 0.9043 0.9043
0.06699 0.9050 0.9050
0.06709 0.9061 0.9061
0.06719 0.9061 0.9061
0.06729 0.9061 0.9061
0.06739 0.9062 0.9062
0.06748 0.9085 0.9085
0.06758 0.9091 0.9091
0.06768 0.9098 0.9098
0.06778 0.9103 0.9103
0.06788 0.9115 0.9115
0.06798 0.9115 0.9115
0.06808 0.9128 0.9128
0.06818 0.9133 0.9133
0.06828 0.9151 0.9151
0.06838 0.9157 0.9157
0.06848 0.9164 0.9164
0.06858 0.9187 0.9187
0.06868 0.9193 0.9193
0.06878 0.9211 0.9211
0.06888 0.9236 0.9236
0.06898 0.9247 0.9247
0.06908 0.9259 0.9259
0.06917 0.9272 0.9272
0.06927 0.9301 0.9301
0.06937 0.9019 0.9019
0.06947 0.9085 0.9085
0.06957 0.9170 0.9170
0.06967 0.9109 0.9109
0.06977 0.9109 0.9109
0.06987 0.9205 0.9205
0.06997 0.9122 0.9122
0.07007 0.9223 0.9223
0.07017 0.9145 0.9145
0.07027 0.9265 0.9265
0.07037 0.9176 0.9176
0.07047 0.9295 0.9295
0.07057 0.9295 0.9295
0.07067 0.9092 0.9092
0.07076 0.9109 0.9109
0.07086 0.9109 0.9109
0.07096 0.9151 0.9151
0.07106 0.9164 0.9164
0.07116 0.9181 0.9181
0.07126 0.9187 0.9187
0.07136 0.9199 0.9199
0.07146 0.9206 0.9206
0.07156 0.9211 0.9211
0.07166 0.9229 0.9229
0.07176 0.9217 0.9217
0.07186 0.9242 0.9242
0.07196 0.9229 0.9229
0.07206 0.9235 0.9235
0.07216 0.9242 0.9242
0.07226 0.9259 0.9259
0.07236 0.9253 0.9253
0.07245 0.9259 0.9259
0.07255 0.9266 0.9266
0.07265 0.9265 0.9265
0.07275 0.9289 0.9289
0.07285 0.9283 0.9283
0.07295 0.9308 0.9308
0.07305 0.9355 0.9355
0.07315 0.9355 0.9355
0.07325 0.9355 0.9355
0.07335 0.9392 0.9392
0.07345 0.9397 0.9397
0.07355 0.9397 0.9397
0.07365 0.9422 0.9422
0.07375 0.9439 0.9439
0.07385 0.9451 0.9451
0.07395 0.9481 0.9481
0.07404 0.9494 0.9494
0.07414 0.9487 0.9487
0.07424 0.9487 0.9487
0.07434 0.9529 0.9529
0.07444 0.9548 0.9548
0.07454 0.9565 0.9565
0.07464 0.9547 0.9547
0.07474 0.9565 0.9565
0.07484 0.9638 0.9638
0.07494 0.9625 0.9625
0.07504 0.9667 0.9667
0.07514 0.9554 0.9554
0.07524 0.9091 0.9091
0.07534 0.9169 0.9169
0.07544 0.9211 0.9211
0.07554 0.9248 0.9248
0.07563 0.9277 0.9277
0.07573 0.9343 0.9343
0.07583 0.9403 0.9403
