"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.08269 0.9145 0.9079
0.08279 0.9163 0.9085
0.08289 0.9121 0.9067
0.08299 0.9092 0.9098
0.08309 0.9187 0.9091
0.08319 0.9127 0.9091
0.08329 0.9157 0.9109
0.08339 0.9116 0.9104
0.08349 0.9121 0.9115
0.08359 0.9151 0.9115
0.08369 0.9169 0.9121
0.08378 0.9170 0.9122
0.08388 0.9163 0.9145
0.08398 0.9193 0.9127
0.08408 0.9188 0.9134
0.08418 0.9169 0.9151
0.08428 0.9175 0.9133
0.08438 0.9163 0.9151
0.08448 0.9194 0.9146
0.08458 0.9193 0.9151
0.08468 0.9205 0.9145
0.08478 0.9205 0.9151
0.08488 0.9182 0.9152
0.08498 0.9211 0.9157
0.08508 0.9199 0.9157
0.08518 0.9205 0.9157
0.08528 0.9212 0.9158
0.08537 0.9223 0.9175
0.08547 0.9205 0.9163
0.08557 0.9212 0.9170
0.08567 0.9229 0.9169
0.08577 0.9223 0.9169
0.08587 0.9229 0.9181
0.08597 0.9218 0.9164
0.08607 0.9223 0.9181
0.08617 0.9253 0.9193
0.08627 0.9223 0.9181
0.08637 0.9200 0.9176
0.08647 0.9253 0.9193
0.08657 0.9229 0.9175
0.08667 0.9253 0.9187
0.08677 0.9224 0.9200
0.08687 0.9205 0.9181
0.08697 0.9235 0.9193
0.08706 0.9236 0.9200
0.08716 0.9217 0.9199
0.08726 0.9235 0.9193
0.08736 0.9223 0.9211
0.08746 0.9224 0.9188
0.08756 0.9259 0.9211
0.08766 0.9235 0.9199
0.08776 0.9265 0.9211
0.08786 0.9248 0.9212
0.08796 0.9211 0.9193
0.08806 0.9271 0.9229
0.08816 0.9247 0.9211
0.08826 0.9236 0.9212
0.08836 0.9235 0.9223
0.08846 0.9265 0.9229
0.08856 0.9260 0.9212
0.08865 0.9283 0.9235
0.08875 0.9283 0.9223
0.08885 0.9301 0.9217
0.08895 0.9320 0.9242
0.08905 0.9217 0.9235
0.08915 0.9217 0.9235
0.08925 0.9217 0.9247
0.08935 0.9254 0.9224
0.08945 0.9301 0.9247
0.08955 0.9259 0.9235
0.08965 0.9259 0.9241
0.08975 0.9266 0.9248
0.08985 0.9283 0.9241
0.08995 0.9271 0.9247
0.09005 0.9302 0.9248
0.09015 0.9295 0.9247
0.09024 0.9241 0.9241
0.09034 0.9253 0.9265
0.09044 0.9242 0.9254
0.09054 0.9217 0.9253
0.09064 0.9271 0.9259
0.09074 0.9307 0.9265
0.09084 0.9266 0.9260
0.09094 0.9277 0.9259
0.09104 0.9295 0.9259
0.09114 0.9277 0.9271
0.09124 0.9284 0.9272
0.09134 0.9253 0.9271
0.09144 0.9337 0.9271
0.09154 0.9290 0.9278
0.09164 0.9289 0.9271
