"DataSource","Name","BasinName","ClassName","Mosaic","MosaicDateStart","MosaicDateEnd","ObservedArea","ObservedAreaWater","PercentObserved","PercentWater","EstimatedAreaWater","Threshold"
"Ducks Unlimited","Yolo Treated Wetland","Yolo","Treated Wetland","L8_valley_20130502to20130511_water.tif","2013-05-02","2013-05-11",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","American Rice","American","Rice","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","American Seasonal Wetland","American","Seasonal Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","American Semi-permanent Wetland","American","Semi-permanent Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Butte Rice","Butte","Rice","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Butte Seasonal Wetland","Butte","Seasonal Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Butte Semi-permanent Wetland","Butte","Semi-permanent Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Butte Treated Wetland","Butte","Treated Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Colusa Rice","Colusa","Rice","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Colusa Seasonal Wetland","Colusa","Seasonal Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Colusa Semi-permanent Wetland","Colusa","Semi-permanent Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Colusa Treated Wetland","Colusa","Treated Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Delta Rice","Delta","Rice","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",11956500,934200,76.7342459423554,7.81332329695145,1217448.59616108,0.07897201
"Ducks Unlimited","Delta Seasonal Wetland","Delta","Seasonal Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",11163600,1107900,33.9352155832786,9.92421799419542,3264750.14511448,0.07897201
"Ducks Unlimited","Delta Semi-permanent Wetland","Delta","Semi-permanent Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",2595600,2056500,27.6669224865695,79.2302357836338,7433063.80027739,0.07897201
"Ducks Unlimited","Delta Treated Wetland","Delta","Treated Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",1973700,1422900,77.1368272951108,72.0930232558139,1844644.18604651,0.07897201
"Ducks Unlimited","San Joaquin Seasonal Wetland","San Joaquin","Seasonal Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",222447600,32465250,100,14.5945606965416,32465250,0.07897201
"Ducks Unlimited","San Joaquin Semi-permanent Wetland","San Joaquin","Semi-permanent Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",10140300,6513750,100,64.2362651992545,6513750,0.07897201
"Ducks Unlimited","San Joaquin Treated Wetland","San Joaquin","Treated Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",7209900,6652800,100,92.2731244538759,6652800,0.07897201
"Ducks Unlimited","Suisun Seasonal Wetland","Suisun","Seasonal Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Suisun Semi-permanent Wetland","Suisun","Semi-permanent Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Sutter Rice","Sutter","Rice","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Sutter Seasonal Wetland","Sutter","Seasonal Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Sutter Semi-permanent Wetland","Sutter","Semi-permanent Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Tulare Seasonal Wetland","Tulare","Seasonal Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",58104900,4289850,100,7.38294016511516,4289850,0.07897201
"Ducks Unlimited","Tulare Semi-permanent Wetland","Tulare","Semi-permanent Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",18285300,15285600,100,83.5950189496481,15285600,0.07897201
