"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.05079 0.9613 0.9613
0.05089 0.9608 0.9608
0.05099 0.9691 0.9691
0.05109 0.9674 0.9674
0.05119 0.9656 0.9656
0.05128 0.9583 0.9583
0.05138 0.9644 0.9644
0.05148 0.9691 0.9691
0.05158 0.9608 0.9608
0.05168 0.9655 0.9655
0.05178 0.9662 0.9662
0.05188 0.9685 0.9685
0.05198 0.9722 0.9722
0.05208 0.9697 0.9697
0.05218 0.9644 0.9644
0.05228 0.9607 0.9607
0.05238 0.9656 0.9656
0.05248 0.9661 0.9661
0.05258 0.9650 0.9650
0.05268 0.9644 0.9644
0.05278 0.9763 0.9763
0.05287 0.9620 0.9620
0.05297 0.9757 0.9757
0.05307 0.9757 0.9757
0.05317 0.9823 0.9823
0.05327 0.9805 0.9805
0.05337 0.9883 0.9883
0.05347 0.9937 0.9937
0.05357 0.9667 0.9667
0.05367 0.9032 0.9032
0.05377 0.9007 0.9007
0.05387 0.8936 0.8936
0.05397 0.9097 0.9097
0.05407 0.9140 0.9140
0.05417 0.9146 0.9146
0.05427 0.9163 0.9163
0.05437 0.9170 0.9170
0.05447 0.9193 0.9193
0.05456 0.9212 0.9212
0.05466 0.9223 0.9223
0.05476 0.9260 0.9260
0.05486 0.9271 0.9271
0.05496 0.9308 0.9308
0.05506 0.9331 0.9331
0.05516 0.9362 0.9362
0.05526 0.9367 0.9367
0.05536 0.9410 0.9410
0.05546 0.9391 0.9391
0.05556 0.9440 0.9440
0.05566 0.9458 0.9458
0.05576 0.9457 0.9457
0.05586 0.9488 0.9488
0.05596 0.9505 0.9505
0.05606 0.9500 0.9500
0.05615 0.9523 0.9523
0.05625 0.9548 0.9548
0.05635 0.9577 0.9577
0.05645 0.9602 0.9602
0.05655 0.9607 0.9607
0.05665 0.9620 0.9620
0.05675 0.9625 0.9625
0.05685 0.9638 0.9638
0.05695 0.9643 0.9643
0.05705 0.9650 0.9650
0.05715 0.9668 0.9668
0.05725 0.9661 0.9661
0.05735 0.9680 0.9680
0.05745 0.9685 0.9685
0.05755 0.9692 0.9692
0.05765 0.9703 0.9703
0.05774 0.9722 0.9722
0.05784 0.9715 0.9715
0.05794 0.9739 0.9739
0.05804 0.9727 0.9727
0.05814 0.9757 0.9757
0.05824 0.9769 0.9769
0.05834 0.9775 0.9775
0.05844 0.9805 0.9805
0.05854 0.9811 0.9811
0.05864 0.9847 0.9847
0.05874 0.9931 0.9931
0.05884 0.9620 0.9620
0.05894 0.8816 0.8816
0.05904 0.8924 0.8924
0.05914 0.9535 0.9535
0.05924 0.9686 0.9686
0.05934 0.9817 0.9817
0.05943 0.8990 0.8990
0.05953 0.8996 0.8996
0.05963 0.9026 0.9026
0.05973 0.9031 0.9031
0.05983 0.9068 0.9068
0.05993 0.9091 0.9091
0.06003 0.9140 0.9140
0.06013 0.9182 0.9182
0.06023 0.9193 0.9193
0.06033 0.9218 0.9218
0.06043 0.9235 0.9235
0.06053 0.9284 0.9284
0.06063 0.9313 0.9313
0.06073 0.9428 0.9428
0.06083 0.9523 0.9523
0.06093 0.9536 0.9536
0.06102 0.9571 0.9571
0.06112 0.9620 0.9620
0.06122 0.9817 0.9817
0.06132 0.6717 0.6717
0.06142 0.6771 0.6771
0.06152 0.6795 0.6795
0.06162 0.6783 0.6783
0.06172 0.6813 0.6813
0.06182 0.6831 0.6831
0.06192 0.6867 0.6867
0.06202 0.6957 0.6957
0.06212 0.7184 0.7184
0.06222 0.7497 0.7497
0.06232 0.7676 0.7676
0.06242 0.8204 0.8204
0.06252 0.8624 0.8624
0.06261 0.8906 0.8906
0.06271 0.9121 0.9121
0.06281 0.9427 0.9427
0.06291 0.9518 0.9518
0.06301 0.9571 0.9571
0.06311 0.9667 0.9667
0.06321 0.9572 0.9572
0.06331 0.9667 0.9667
0.06341 0.9691 0.9691
0.06351 0.9739 0.9739
0.06361 0.9776 0.9776
0.06371 0.9613 0.9613
0.06381 0.9733 0.9733
