"rank" "feature_density_pos" "weighted_feature_density_pos" "feature_density_zero" 
0.05864 0.7449 0.7449 0.8552
0.05874 0.7496 0.7496 0.8624
0.05884 0.7533 0.7533 0.8600
0.05894 0.7568 0.7568 0.8678
0.05904 0.7670 0.7670 0.8618
0.05914 0.7748 0.7748 0.8744
0.05924 0.7820 0.7820 0.8828
0.05934 0.8078 0.8078 0.8588
0.05943 0.8138 0.8138 0.8606
0.05953 0.8210 0.8210 0.8708
0.05963 0.8462 0.8462 0.9044
0.05973 0.7862 0.7862 1.1742
0.05983 0.6891 0.6891 1.3290
0.05993 0.6987 0.6987 1.3541
0.06003 0.7119 0.7119 1.3662
0.06013 0.7275 0.7275 1.3740
0.06023 0.7364 0.7364 1.3553
0.06033 0.7431 0.7431 1.1125
0.06043 0.7466 0.7466 1.0483
0.06053 0.7521 0.7521 1.1641
0.06063 0.7568 0.7568 1.0453
0.06073 0.7598 0.7598 1.0909
0.06083 0.7622 0.7622 1.0567
0.06093 0.7610 0.7610 1.0357
0.06102 0.7646 0.7646 1.0285
0.06112 0.7652 0.7652 1.1659
0.06122 0.7676 0.7676 1.0549
0.06132 0.7473 0.7473 0.9140
0.06142 0.7502 0.7502 1.0087
0.06152 0.7503 0.7503 1.0561
0.06162 0.7515 0.7515 0.9614
0.06172 0.7628 0.7628 0.9739
0.06182 0.7551 0.7551 0.9841
0.06192 0.7562 0.7562 1.0489
0.06202 0.7574 0.7574 0.9805
0.06212 0.7580 0.7580 1.0105
0.06222 0.7592 0.7592 1.0027
0.06232 0.7616 0.7616 1.0039
0.06242 0.7610 0.7610 0.9572
0.06252 0.7724 0.7724 1.0291
0.06261 0.7646 0.7646 0.9841
0.06271 0.7634 0.7634 1.0483
0.06281 0.7652 0.7652 0.9607
0.06291 0.7779 0.7779 1.0466
0.06301 0.7676 0.7676 0.9691
0.06311 0.7676 0.7676 1.0855
0.06321 0.7713 0.7713 1.0112
0.06331 0.7832 0.7832 0.9541
0.06341 0.7748 0.7748 1.0021
0.06351 0.7856 0.7856 1.0933
0.06361 0.7755 0.7755 0.9746
0.06371 0.7748 0.7748 0.9613
0.06381 0.7754 0.7754 1.0399
0.06391 0.7904 0.7904 1.0279
0.06401 0.7785 0.7785 0.9668
0.06411 0.7910 0.7910 1.0231
0.06421 0.7778 0.7778 1.0033
0.06430 0.7796 0.7796 0.9631
0.06440 0.7797 0.7797 1.0562
0.06450 0.7772 0.7772 0.9607
0.06460 0.7766 0.7766 0.8924
0.06470 0.7803 0.7803 0.9536
0.06480 0.7814 0.7814 0.9625
0.06490 0.7820 0.7820 0.9421
0.06500 0.7886 0.7886 1.0417
0.06510 0.7869 0.7869 1.0076
0.06520 0.7868 0.7868 1.0273
0.06530 0.8072 0.8072 0.9979
0.06540 0.8078 0.8078 1.0273
0.06550 0.7899 0.7899 0.9782
0.06560 0.8174 0.8174 1.0441
0.06570 0.8306 0.8306 1.0237
0.06580 0.8558 0.8558 1.0315
0.06589 0.7605 0.7605 0.9824
0.06599 0.7724 0.7724 0.8618
